name,a,elements,crystal_system,point_group,formula,plane,num_elements
TaNbTc2 (111),8.996748198800939,"Nb, Ta, Tc",Cubic,m-3m,TaNbTc2,(111),3
TaOs3 (111),5.536607177533431,"Os, Ta",Cubic,m-3m,TaOs3,(111),2
TaPbS2 (0001),3.3637068887015653,"Pb, S, Ta",Hexagonal,6/mmm,TaPbS2,(0001),3
TaPbSe2 (0001),3.4685513006057866,"Pb, Se, Ta",Hexagonal,-6m2,TaPbSe2,(0001),3
TaRh3 (111),5.47270032328976,"Rh, Ta",Cubic,m-3m,TaRh3,(111),2
TaS2 (0001),3.3376260316726056,"S, Ta",Trigonal,3m,TaS2,(0001),2
TaSbRu (111),8.709437981418073,"Ru, Sb, Ta",Cubic,-43m,TaSbRu,(111),3
TaSe2 (0001),3.4741009291914224,"Se, Ta",Hexagonal,6/mmm,TaSe2,(0001),2
TaSi2 (0001),4.783790772325036,"Si, Ta",Hexagonal,622,TaSi2,(0001),2
TaSnRh (111),8.714331871715375,"Rh, Sn, Ta",Cubic,-43m,TaSnRh,(111),3
TaTc (111),4.490061154090942,"Ta, Tc",Cubic,m-3m,TaTc,(111),2
TaTiB4 (0001),3.06250805477143,"B, Ta, Ti",Hexagonal,6/mmm,TaTiB4,(0001),3
TaTiC2 (0001),3.118172797287457,"C, Ta, Ti",Trigonal,-3m,TaTiC2,(0001),3
TaTiMn2 (111),8.517408459714797,"Mn, Ta, Ti",Cubic,m-3m,TaTiMn2,(111),3
TaTiOs2 (111),8.859226508177601,"Os, Ta, Ti",Cubic,m-3m,TaTiOs2,(111),3
TaTiRe2 (111),8.920606544622974,"Re, Ta, Ti",Cubic,m-3m,TaTiRe2,(111),3
TaTiRu2 (111),8.815572869527326,"Ru, Ta, Ti",Cubic,m-3m,TaTiRu2,(111),3
TaTiTc2 (111),8.871738800383929,"Ta, Tc, Ti",Cubic,m-3m,TaTiTc2,(111),3
TaTl3S4 (111),10.968356180488488,"S, Ta, Tl",Cubic,-43m,TaTl3S4,(111),3
TaTl3Se4 (111),11.267126095140222,"Se, Ta, Tl",Cubic,-43m,TaTl3Se4,(111),3
TaV2 (111),10.051924344071237,"Ta, V",Cubic,m-3m,TaV2,(111),2
TaW3 (111),9.047852700923462,"Ta, W",Cubic,m-3m,TaW3,(111),2
TaZn2 (0001),5.00042187222199,"Ta, Zn",Hexagonal,6/mmm,TaZn2,(0001),2
TaZnCo2 (111),8.309600213620163,"Co, Ta, Zn",Cubic,m-3m,TaZnCo2,(111),3
TaZnRh2 (111),8.718270569623668,"Rh, Ta, Zn",Cubic,m-3m,TaZnRh2,(111),3
TaZnRu2 (111),8.699679445540388,"Ru, Ta, Zn",Cubic,m-3m,TaZnRu2,(111),3
Tb (0001),3.6724759417033273,Tb,Hexagonal,6/mmm,Tb,(0001),1
Tb(AlC)3 (0001),3.4230726552887853,"Al, C, Tb",Hexagonal,6/mmm,Tb(AlC)3,(0001),3
Tb(AlCl4)3 (0001),10.622140157853316,"Al, Cl, Tb",Trigonal,32,Tb(AlCl4)3,(0001),3
Tb(AlGe)2 (0001),4.229129761580017,"Al, Ge, Tb",Trigonal,-3m,Tb(AlGe)2,(0001),3
Tb(AlSi)2 (0001),4.178789523825217,"Al, Si, Tb",Trigonal,-3m,Tb(AlSi)2,(0001),3
Tb(ClO4)3 (0001),9.408412520972924,"Cl, O, Tb",Hexagonal,6/m,Tb(ClO4)3,(0001),3
Tb(Co2B)6 (0001),9.343252926420858,"B, Co, Tb",Trigonal,-3m,Tb(Co2B)6,(0001),3
Tb(CuS)3 (0001),6.658894574848888,"Cu, S, Tb",Trigonal,-3,Tb(CuS)3,(0001),3
Tb(FeP3)4 (111),10.955801963358194,"Fe, P, Tb",Cubic,m-3,Tb(FeP3)4,(111),3
Tb(MnGe)6 (0001),5.167834295791062,"Ge, Mn, Tb",Hexagonal,6/mmm,Tb(MnGe)6,(0001),3
Tb(Mo3S4)2 (0001),9.125313184949192,"Mo, S, Tb",Trigonal,-3,Tb(Mo3S4)2,(0001),3
Tb(NbSn)6 (0001),5.8025139187885175,"Nb, Sn, Tb",Hexagonal,6/mmm,Tb(NbSn)6,(0001),3
Tb(ZnP)3 (0001),3.9752551381922516,"P, Tb, Zn",Hexagonal,6/mmm,Tb(ZnP)3,(0001),3
Tb10Mn13C18 (111),14.266761779701518,"C, Mn, Tb",Cubic,-43m,Tb10Mn13C18,(111),3
Tb12(MnC3)5 (0001),10.503393948133827,"C, Mn, Tb",Hexagonal,-6m2,Tb12(MnC3)5,(0001),3
